City Name,Country,Region,CBD Location,,Land Cover Dates,,,Urban Extent Population,,,,Built-up Area Total  (ha),,,,Urban Built-up Area (ha),,,,Surburban Built-up Area (ha),,,,Rural Built-up Area  (ha),,,,Urbanized Open Space  (ha),,,,Urban Extent (ha),,,,Built-up Area Density (persons/ha),,,,Urban Extent Density (persons / ha),,,,Frgmentation: Saturation  (Built-up Area/Urban Extent),,,, Fragmentation: Openness index,,,,Compactness: Proximity index,,,,Compactness: Cohesion index,,,,Total Added Area (ha),,,Added Area: Infill (ha),,,,Added Area: Extension (ha),,,,Added Area: Leapfrog (ha),,,,Added Area: Inclusion (ha),,,,,
,,,Latitude,Longitude,T1,T2,T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1-T2,T2-T3,(T2-T3)/   (T1-T2),T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,,
Sao Paulo,Brazil,Latin America and the Caribbean,-23.534,-46.615,9/1/88,4/1/00,7/1/14,"13,654,119","16,866,432","19,609,222",1.1%,"113,867","156,401","172,428",0.7%,"100,055","142,463","158,290",0.7%,"12,896","12,946","13,170",0.1%,916,992,968,-0.2%,"41,666","38,589","39,480",0.2%,"155,533","194,990","211,908",0.6%,120,108,114,0.4%,88,86,93,0.5%,0.73,0.80,0.81,0.1%,0.21,0.16,0.14,-0.7%,0.86,0.86,0.86,0.0%,0.85,0.84,0.85,0.1%,"42,637","16,094", 0.4 ,"22,628",53%,"9,532",59%,"11,919",28%,"3,580",22%,"1,141",2.7%,357,2.2%,"6,949",16%,"2,625",16%,,
Seoul,Korea Rep.,East Asia and the Pacific,37.495,126.939,8/1/91,5/1/00,5/1/14,"17,106,932","19,696,142","23,711,624",1.3%,"67,574","116,423","199,578",3.9%,"56,047","88,312","151,051",3.8%,"10,683","25,947","45,113",4.0%,844,"2,164","3,413",3.3%,"28,229","65,328","115,171",4.1%,"95,803","181,751","314,748",3.9%,253,169,119,-2.5%,179,108,75,-2.6%,0.71,0.64,0.63,-0.1%,0.25,0.30,0.30,0.2%,0.70,0.75,0.80,0.5%,0.69,0.73,0.79,0.6%,"48,849","76,396", 1.6 ,"9,028",18%,"21,712",28%,"24,254",50%,"32,453",42%,43,0.1%,"1,002",1.3%,"15,524",32%,"21,229",28%,,
"Shanghai, Shanghai",China,East Asia and the Pacific,31.250,121.440,1/1/91,8/1/00,8/1/15,"10,044,522","14,460,678","24,387,272",3.5%,"95,071","200,978","320,046",3.1%,"45,678","126,666","269,340",5.0%,"45,621","69,465","49,025",-2.3%,"3,772","4,847","1,681",-7.1%,"100,510","166,582","148,826",-0.8%,"195,581","367,559","468,872",1.6%,106,72,76,0.4%,51,39,52,1.9%,0.49,0.55,0.68,1.5%,0.47,0.37,0.25,-2.7%,0.80,0.90,0.96,0.4%,0.79,0.90,0.95,0.4%,"105,906","119,040", 1.1 ,"38,013",36%,"66,455",56%,"33,213",31%,"37,586",32%,220,0.2%,111,0.1%,"34,459",33%,"14,889",13%,,
Sheffield,United Kingdom,Europe and Japan,53.454,-1.356,5/1/92,9/1/02,11/1/13,"1,048,927","1,077,868","1,166,836",0.7%,"21,758","25,687","27,394",0.6%,"15,245","19,140","20,908",0.8%,"6,189","6,221","6,161",-0.1%,324,326,325,0.0%,"14,152","15,896","16,391",0.3%,"35,909","41,583","43,785",0.5%,48,42,43,0.1%,29,26,27,0.2%,0.61,0.62,0.63,0.1%,0.39,0.36,0.35,-0.3%,0.65,0.67,0.67,0.1%,0.64,0.67,0.67,0.1%,"3,929","1,706", 0.4 ,"1,690",43%,725,43%,543,14%,114,7%,449,11.4%,222,13.0%,"1,247",32%,644,38%,,
"Shenzhen, Guangdong",China,East Asia and the Pacific,24.316,116.112,10/1/87,1/1/00,10/1/13,"455,782","5,955,495","10,945,126",4.4%,"10,017","41,942","78,521",4.6%,"7,984","33,088","70,152",5.5%,"1,901","8,201","7,862",-0.3%,133,653,507,-1.8%,"3,783","18,151","25,598",2.5%,"13,800","60,093","104,119",4.0%,45,142,139,-0.1%,33,99,105,0.4%,0.73,0.70,0.75,0.6%,0.31,0.30,0.21,-2.5%,0.49,0.57,0.68,1.3%,0.50,0.57,0.67,1.2%,"31,944","36,584", 1.1 ,"2,939",9%,"8,110",22%,"21,316",67%,"23,639",65%,26,0.1%,455,1.2%,"7,662",24%,"4,381",12%,,
Shymkent,Kazakhstan,South and Central Asia,42.315,69.630,8/1/93,9/1/00,10/1/13,"334,602","376,601","651,614",4.2%,"7,969","9,239","19,457",5.7%,"6,695","7,932","15,179",5.0%,"1,187","1,206","4,005",9.2%,87,102,273,7.5%,"3,024","3,643","10,279",7.9%,"10,993","12,882","29,736",6.4%,42,41,33,-1.5%,30,29,22,-2.2%,0.72,0.72,0.65,-0.7%,0.25,0.23,0.28,1.5%,0.71,0.74,0.72,-0.2%,0.70,0.73,0.70,-0.3%,"1,269","10,217", 8.0 ,511,40%,"1,898",19%,635,50%,"4,946",48%,0,0.0%,0,0.0%,123,10%,"3,374",33%,,
Sialkot,Pakistan,South and Central Asia,32.508,74.524,11/1/92,10/1/00,10/1/14,"413,632","736,095","1,023,264",2.4%,"1,195","4,582","5,699",1.6%,744,"2,836","4,018",2.5%,415,"1,672","1,589",-0.4%,36,75,92,1.5%,843,"3,587","3,922",0.6%,"2,038","8,169","9,620",1.2%,346,161,180,0.8%,203,90,106,1.2%,0.59,0.56,0.59,0.4%,0.38,0.40,0.37,-0.6%,0.87,0.90,0.88,-0.1%,0.86,0.89,0.87,-0.2%,"3,387","1,117", 0.3 ,348,10%,524,47%,"2,751",81%,253,23%,0,0.0%,8,0.7%,287,8%,331,30%,,
Singapore,Singapore,Southeast Asia,1.290,103.850,4/1/90,10/1/02,4/1/13,"2,700,539","4,006,613","5,085,789",2.3%,"15,760","23,618","27,392",1.4%,"9,379","17,596","22,311",2.3%,"6,007","5,711","4,787",-1.7%,373,311,294,-0.5%,"14,221","15,614","14,646",-0.6%,"29,981","39,232","42,039",0.7%,171,170,186,0.9%,90,102,121,1.6%,0.53,0.60,0.65,0.8%,0.44,0.37,0.33,-1.2%,0.68,0.72,0.74,0.3%,0.69,0.72,0.75,0.3%,"7,857","3,774", 0.5 ,"3,097",39%,"2,618",69%,"2,684",34%,541,14%,505,6.4%,152,4.0%,"1,571",20%,464,12%,,
Singrauli,India,South and Central Asia,82.671,24.200,1/1/90,2/1/00,2/1/10,"8,273","90,805","136,936",4.1%,82,749,"1,739",8.4%,0,249,968,13.6%,71,455,705,4.4%,11,45,66,3.8%,133,898,"1,617",5.9%,215,"1,647","3,356",7.1%,101,121,79,-4.3%,39,55,41,-3.0%,0.38,0.45,0.52,1.3%,0.68,0.56,0.47,-1.7%,0.97,0.80,0.76,-0.5%,0.96,0.80,0.76,-0.5%,666,989, 1.5 ,57,9%,228,23%,368,55%,503,51%,1,0.1%,0,0.0%,240,36%,258,26%,,
Sitapur,India,South and Central Asia,27.568,80.692,2/1/89,4/1/00,3/1/14,"107,700","132,115","139,273",0.4%,614,984,"1,271",1.8%,367,587,823,2.4%,224,356,390,0.7%,23,41,58,2.5%,481,788,907,1.0%,"1,095","1,772","2,178",1.5%,175,134,110,-1.5%,98,75,64,-1.1%,0.56,0.56,0.58,0.4%,0.45,0.44,0.41,-0.5%,0.83,0.83,0.82,-0.1%,0.82,0.82,0.81,-0.1%,370,286, 0.8 ,99,27%,133,47%,146,40%,62,22%,0,0.0%,0,0.0%,124,34%,90,31%,,
"Springfield, MA",United States,Land-Rich Developed Countries,37.190,-93.293,9/1/91,9/1/00,10/1/14,"303,222","470,384","530,272",0.9%,"9,184","26,790","36,637",2.2%,"5,412","15,529","22,210",2.5%,"3,427","10,553","13,524",1.8%,345,708,902,1.7%,"8,824","25,272","31,017",1.5%,"18,008","52,062","67,653",1.9%,33,18,14,-1.4%,17,9,8,-1.0%,0.51,0.51,0.54,0.4%,0.42,0.43,0.41,-0.3%,0.82,0.79,0.81,0.1%,0.82,0.77,0.79,0.1%,"17,606","9,846", 0.6 ,"3,815",22%,"4,288",44%,"7,677",44%,"1,284",13%,0,0.0%,26,0.3%,"6,114",35%,"4,248",43%,,
"Suining, Sichuan",China,East Asia and the Pacific,30.524,105.564,9/1/88,7/1/00,8/1/13,"57,707","340,355","439,801",2.0%,319,757,"1,940",7.2%,207,591,"1,336",6.2%,105,150,553,10.0%,6,16,51,8.8%,174,321,"1,087",9.3%,493,"1,078","3,027",7.9%,181,450,227,-5.2%,117,316,145,-5.9%,0.65,0.70,0.64,-0.7%,0.43,0.34,0.36,0.2%,0.73,0.64,0.62,-0.1%,0.74,0.65,0.64,-0.1%,437,"1,182", 2.7 ,91,21%,148,12%,299,68%,871,74%,0,0.0%,0,0.0%,47,11%,164,14%,,
Suva,Fiji,East Asia and the Pacific,-18.142,178.441,8/1/91,10/1/99,5/1/14,"25,574","162,385","182,140",0.8%,127,"2,258","2,846",1.6%,22,"1,420","1,962",2.2%,98,792,846,0.4%,7,46,39,-1.1%,118,"1,651","1,876",0.9%,245,"3,909","4,722",1.3%,202,72,64,-0.8%,104,42,39,-0.5%,0.52,0.58,0.60,0.3%,0.60,0.44,0.40,-0.7%,0.86,0.70,0.70,0.1%,0.85,0.70,0.70,0.0%,"2,131",589, 0.3 ,153,7%,267,45%,"1,330",62%,202,34%,0,0.0%,1,0.1%,648,30%,119,20%,,
Sydney,Australia,Land-Rich Developed Countries,151.071,-33.798,4/1/91,2/1/00,8/1/14,"2,871,961","3,318,263","4,114,435",1.5%,"69,123","86,548","110,033",1.7%,"51,774","70,447","90,790",1.7%,"16,371","15,132","18,000",1.2%,978,969,"1,243",1.7%,"43,913","43,765","52,493",1.3%,"113,035","130,313","162,527",1.5%,42,38,37,-0.2%,25,25,25,0.0%,0.61,0.66,0.68,0.1%,0.35,0.30,0.28,-0.5%,0.80,0.81,0.81,0.0%,0.78,0.79,0.79,0.0%,"17,463","23,548", 1.3 ,"10,107",58%,"10,100",43%,"3,755",22%,"6,449",27%,"1,003",5.7%,343,1.5%,"2,598",15%,"6,657",28%,,
"Taipei, Taiwan",China,East Asia and the Pacific,25.047,121.546,7/1/90,3/1/01,1/1/14,"5,541,394","7,266,320","8,591,170",1.3%,"21,852","38,042","70,235",4.8%,"17,829","27,929","52,099",4.9%,"3,760","9,329","16,734",4.6%,263,785,"1,402",4.5%,"8,271","22,736","40,291",4.5%,"30,123","60,778","110,526",4.7%,254,191,122,-3.5%,184,120,78,-3.4%,0.73,0.63,0.64,0.1%,0.27,0.32,0.30,-0.4%,0.69,0.57,0.71,1.6%,0.67,0.57,0.70,1.7%,"16,190","32,192", 2.0 ,"1,989",12%,"10,983",34%,"3,551",22%,"12,473",39%,19,0.1%,10,0.0%,"10,631",66%,"8,727",27%,,
"Tangshan, Hebei",China,East Asia and the Pacific,39.648,118.190,9/1/90,7/1/00,7/1/13,"819,328","1,139,998","2,699,870",6.6%,"7,767","12,568","58,221",11.8%,"5,677","9,132","39,211",11.2%,"1,934","3,197","17,904",13.3%,155,240,"1,107",11.8%,"3,749","6,313","32,014",12.5%,"11,516","18,882","90,235",12.0%,105,91,46,-5.2%,71,60,30,-5.4%,0.67,0.67,0.65,-0.2%,0.33,0.32,0.36,0.8%,0.81,0.77,0.70,-0.7%,0.80,0.75,0.69,-0.7%,"4,801","45,652", 9.5 ,936,19%,"2,846",6%,"1,742",36%,"20,706",45%,50,1.0%,803,1.8%,"2,074",43%,"21,297",47%,,
Tashkent,Uzbekistan,South and Central Asia,41.297,69.233,8/1/90,10/1/99,9/1/13,"2,314,220","2,886,114","3,428,914",1.2%,"26,207","52,030","63,449",1.4%,"16,332","37,572","47,173",1.6%,"9,259","13,500","15,217",0.9%,616,958,"1,059",0.7%,"24,413","33,589","38,551",1.0%,"50,621","85,620","102,000",1.3%,88,55,54,-0.2%,46,34,34,0.0%,0.52,0.61,0.62,0.2%,0.43,0.32,0.31,0.0%,0.93,0.74,0.68,-0.7%,0.92,0.71,0.64,-0.7%,"25,823","11,418", 0.4 ,"11,714",45%,"5,129",45%,"4,649",18%,920,8%,105,0.4%,243,2.1%,"9,355",36%,"5,127",45%,,
Tebessa ,Algeria,Western Asia and North Africa,35.416,8.108,5/1/88,6/1/01,8/1/14,"100,969","156,741","203,543",2.0%,919,"1,796","2,579",2.7%,643,"1,414","2,022",2.7%,259,348,517,3.0%,17,34,40,1.2%,601,748,"1,088",2.8%,"1,520","2,544","3,667",2.8%,110,87,79,-0.8%,66,62,56,-0.8%,0.60,0.71,0.70,0.0%,0.40,0.28,0.27,-0.2%,0.93,0.86,0.85,0.0%,0.92,0.83,0.83,0.0%,876,783, 0.9 ,319,36%,176,23%,391,45%,459,59%,0,0.0%,0,0.0%,167,19%,147,19%,,
Tehran,Iran,South and Central Asia,35.705,51.384,6/1/91,7/1/00,6/1/10,"6,254,309","8,025,064","9,675,929",1.9%,"32,148","47,429","61,367",2.6%,"26,722","41,825","54,161",2.6%,"5,041","5,157","6,648",2.6%,385,447,558,2.2%,"14,955","14,575","17,030",1.6%,"47,103","62,005","78,398",2.4%,195,169,158,-0.7%,133,129,123,-0.5%,0.68,0.76,0.78,0.2%,0.26,0.20,0.19,-0.4%,0.87,0.81,0.79,-0.3%,0.85,0.79,0.77,-0.2%,"15,280","13,938", 0.9 ,"7,385",48%,"4,488",32%,"4,548",30%,"4,229",30%,233,1.5%,"2,265",16.3%,"3,115",20%,"2,956",21%,,
Tel Aviv,Israel,Western Asia and North Africa,32.077,34.839,8/1/87,5/1/00,8/1/14,"967,661","1,953,109","2,774,395",2.5%,"7,304","22,666","33,397",2.7%,"5,858","16,766","24,419",2.6%,"1,363","5,438","8,282",3.0%,83,462,697,2.9%,"3,660","14,359","20,922",2.6%,"10,963","37,025","54,319",2.7%,132,86,83,-0.3%,88,53,51,-0.2%,0.67,0.61,0.61,0.0%,0.28,0.34,0.32,-0.3%,0.79,0.72,0.78,0.6%,0.78,0.71,0.77,0.6%,"15,362","10,731", 0.7 ,"3,018",20%,"3,680",34%,"6,148",40%,"3,564",33%,0,0.0%,62,0.6%,"6,196",40%,"3,426",32%,,
Thessaloniki,Greece,Europe and Japan,40.650,22.916,8/1/90,3/1/00,9/1/11,"744,994","828,396","859,431",0.3%,"4,543","6,888","10,568",3.7%,"3,429","5,195","8,009",3.8%,"1,046","1,592","2,402",3.6%,68,101,157,3.9%,"2,465","4,001","5,879",3.3%,"7,008","10,889","16,447",3.6%,164,120,81,-3.4%,106,76,52,-3.3%,0.65,0.63,0.64,0.1%,0.32,0.31,0.30,-0.2%,0.73,0.68,0.66,-0.2%,0.71,0.67,0.66,-0.1%,"2,363","3,684", 1.6 ,845,36%,"1,283",35%,870,37%,"1,347",37%,0,0.0%,0,0.0%,649,27%,"1,054",29%,,
"Tianjin,  Tianjin",China,East Asia and the Pacific,39.142,117.189,10/1/90,6/1/00,9/1/13,"4,335,420","4,723,410","10,056,078",5.7%,"20,124","27,331","152,442",13.0%,"16,724","22,038","111,533",12.2%,"3,146","4,873","38,192",15.5%,255,421,"2,717",14.1%,"7,120","11,034","83,849",15.3%,"27,245","38,365","236,292",13.7%,215,173,66,-7.3%,159,123,43,-8.0%,0.74,0.71,0.65,-0.7%,0.27,0.28,0.33,1.4%,0.89,0.80,0.76,-0.4%,0.88,0.78,0.74,-0.4%,"7,207","125,110", 17.4 ,862,12%,"11,092",9%,"2,463",34%,"75,377",60%,613,8.5%,175,0.1%,"3,268",45%,"38,467",31%,,
Tijuana,Mexico,Latin America and the Caribbean,32.499,-116.970,4/1/89,4/1/00,5/1/14,"605,336","1,156,319","1,706,084",2.8%,"10,753","18,798","28,626",3.0%,"9,368","17,032","25,718",2.9%,"1,296","1,639","2,732",3.6%,88,127,176,2.3%,"4,791","5,622","7,916",2.4%,"15,544","24,421","36,543",2.9%,56,62,60,-0.2%,39,47,47,-0.1%,0.69,0.77,0.78,0.1%,0.26,0.19,0.17,-0.7%,0.88,0.86,0.85,-0.1%,0.87,0.85,0.83,-0.2%,"8,053","9,752", 1.2 ,"2,560",32%,"3,143",32%,"4,588",57%,"3,791",39%,4,0.0%,465,4.8%,901,11%,"2,352",24%,,
Tokyo,Japan,Europe and Japan,35.682,139.649,12/1/90,9/1/00,5/1/14,"29,181,161","31,349,978","34,765,638",0.8%,"278,695","324,835","448,929",2.4%,"233,260","281,859","380,755",2.2%,"43,068","40,277","63,408",3.3%,"2,367","2,699","4,766",4.2%,"139,209","139,054","194,311",2.4%,"417,904","463,890","643,240",2.4%,105,97,77,-1.6%,70,68,54,-1.6%,0.67,0.70,0.70,0.0%,0.28,0.25,0.23,-0.4%,0.84,0.83,0.84,0.1%,0.83,0.81,0.82,0.1%,"46,220","124,201", 2.7 ,"28,173",61%,"52,177",42%,"8,917",19%,"44,314",36%,"1,088",2.4%,68,0.1%,"8,042",17%,"27,643",22%,,
Toledo,United States,Land-Rich Developed Countries,41.655,-83.602,8/1/90,9/1/00,6/1/14,"402,895","458,978","489,974",0.5%,"12,964","21,486","33,057",3.1%,"6,219","13,602","23,668",4.0%,"6,355","7,383","8,744",1.2%,389,501,645,1.8%,"13,777","17,951","22,984",1.8%,"26,740","39,436","56,042",2.6%,31,21,15,-2.7%,15,12,9,-2.1%,0.48,0.54,0.59,0.6%,0.50,0.42,0.37,-0.9%,0.88,0.89,0.92,0.2%,0.87,0.88,0.91,0.3%,"8,521","11,571", 1.4 ,"3,618",42%,"5,126",44%,"2,872",34%,"3,127",27%,0,0.0%,16,0.1%,"2,032",24%,"3,302",29%,,
Tyumen,Russia,Europe and Japan,57.160,65.551,4/1/90,8/1/99,9/1/11,"419,522","464,410","557,794",1.5%,"6,670","9,979","13,171",2.3%,"5,087","8,382","10,296",1.7%,"1,493","1,481","2,656",4.8%,90,116,219,5.2%,"3,708","3,647","6,029",4.2%,"10,378","13,627","19,200",2.8%,63,47,42,-0.8%,40,34,29,-1.3%,0.64,0.73,0.69,-0.5%,0.36,0.26,0.28,0.6%,0.76,0.78,0.81,0.3%,0.75,0.77,0.79,0.3%,"3,308","3,191", 1.0 ,"1,694",51%,797,25%,"1,160",35%,"1,395",44%,0,0.0%,46,1.4%,454,14%,954,30%,,
Ulaanbaatar,Mongolia,East Asia and the Pacific,47.930,106.889,9/1/90,8/1/01,6/1/14,"426,960","633,616","1,070,573",4.1%,"7,269","9,283","15,493",4.0%,"6,350","8,401","13,567",3.7%,864,830,"1,790",6.0%,55,51,137,7.7%,"2,595","2,611","4,558",4.3%,"9,863","11,894","20,051",4.1%,59,68,69,0.1%,43,53,53,0.0%,0.74,0.78,0.77,-0.1%,0.25,0.18,0.19,0.1%,0.73,0.77,0.80,0.2%,0.72,0.76,0.78,0.2%,"2,019","6,210", 3.1 ,916,45%,"1,400",23%,"1,018",50%,"3,584",58%,0,0.0%,12,0.2%,85,4%,"1,214",20%,,
Valledupar,Colombia,Latin America and the Caribbean,10.464,-73.261,12/1/89,10/1/01,2/1/11,"171,357","263,543","392,935",4.3%,"1,516","2,236","2,688",2.0%,"1,287","1,924","2,336",2.1%,203,288,333,1.6%,27,25,19,-2.5%,632,757,937,2.3%,"2,149","2,994","3,625",2.0%,113,118,146,2.3%,80,88,108,2.2%,0.71,0.75,0.74,-0.1%,0.27,0.22,0.22,-0.3%,0.95,0.95,0.96,0.1%,0.95,0.95,0.96,0.1%,719,451, 0.6 ,235,33%,113,25%,439,61%,294,65%,0,0.0%,0,0.0%,45,6%,44,10%,,
Victoria,Canada,Land-Rich Developed Countries,48.456,-123.401,8/1/90,7/1/00,9/1/13,"224,424","275,203","318,267",1.1%,"7,219","11,613","13,351",1.1%,"4,916","8,680","10,150",1.2%,"2,149","2,767","3,009",0.6%,154,166,193,1.1%,"4,989","6,607","7,295",0.8%,"12,208","18,220","20,646",0.9%,31,24,24,0.0%,18,15,15,0.2%,0.59,0.64,0.65,0.1%,0.38,0.33,0.32,-0.4%,0.79,0.60,0.62,0.2%,0.76,0.60,0.61,0.2%,"4,401","1,759", 0.4 ,"1,792",41%,909,52%,865,20%,441,25%,0,0.0%,4,0.2%,"1,744",40%,405,23%,,
Vienna,Austria,Europe and Japan,48.124,16.346,6/1/91,9/1/00,8/1/13,"1,551,706","1,760,685","2,025,195",1.1%,"17,226","30,978","36,563",1.3%,"11,277","24,165","28,833",1.4%,"5,599","6,350","7,225",1.0%,351,462,505,0.7%,"13,294","15,720","16,785",0.5%,"30,521","46,697","53,347",1.0%,90,57,55,-0.2%,51,38,38,0.1%,0.56,0.66,0.69,0.3%,0.38,0.31,0.29,-0.6%,0.83,0.73,0.72,-0.1%,0.82,0.70,0.70,0.0%,"13,751","5,584", 0.4 ,"6,458",47%,"2,804",50%,"2,461",18%,805,14%,262,1.9%,94,1.7%,"4,571",33%,"1,880",34%,,
Vijayawada,India,South and Central Asia,16.515,80.641,11/1/91,10/1/00,6/1/14,"824,159","926,989","1,210,498",2.0%,"2,724","3,874","4,664",1.4%,"2,040","3,250","3,662",0.9%,647,581,927,3.4%,37,42,75,4.3%,"1,563","1,532","1,935",1.7%,"4,287","5,405","6,599",1.5%,303,239,260,0.6%,192,171,183,0.5%,0.64,0.72,0.71,-0.1%,0.36,0.29,0.29,0.2%,0.82,0.79,0.76,-0.4%,0.81,0.79,0.74,-0.4%,"1,149",790, 0.7 ,561,49%,273,35%,449,39%,61,8%,0,0.0%,27,3.4%,139,12%,429,54%,,
Vinh Long,Vietnam,Southeast Asia,10.250,105.967,4/1/89,11/1/00,1/1/14,"22,433","67,416","222,220",9.1%,54,373,"3,794",17.6%,0,119,"2,324",22.6%,49,231,"1,372",13.5%,5,23,97,10.8%,63,313,"2,689",16.3%,117,687,"6,483",17.1%,413,181,59,-8.6%,191,98,34,-8.0%,0.46,0.54,0.59,0.6%,0.66,0.56,0.43,-1.9%,0.94,0.69,0.70,0.1%,0.93,0.69,0.68,-0.1%,318,"3,420", 10.7 ,39,12%,179,5%,195,61%,"2,749",80%,0,0.0%,0,0.0%,85,27%,492,14%,,
Warsaw,Poland,Europe and Japan,52.234,21.024,5/1/92,8/1/00,9/1/13,"1,833,480","2,128,104","2,298,450",0.6%,"21,130","33,864","47,779",2.6%,"14,189","24,409","37,142",3.2%,"6,460","8,834","9,904",0.9%,481,621,734,1.3%,"15,497","22,409","26,500",1.3%,"36,627","56,274","74,279",2.1%,87,63,48,-2.0%,50,38,31,-1.5%,0.58,0.60,0.64,0.5%,0.40,0.36,0.31,-1.1%,0.75,0.76,0.79,0.3%,0.73,0.73,0.76,0.3%,"12,734","13,914", 1.1 ,"4,497",35%,"6,593",47%,"2,968",23%,"4,128",30%,118,0.9%,58,0.4%,"5,151",40%,"3,135",23%,,
"Wuhan, Hubei",China,East Asia and the Pacific,30.576,114.295,9/1/90,9/1/00,9/1/13,"2,112,069","4,674,398","8,174,063",4.3%,"17,460","28,916","102,833",9.8%,"11,360","21,782","63,008",8.2%,"5,711","6,653","36,491",13.1%,388,481,"3,334",14.9%,"12,887","15,357","80,891",12.8%,"30,347","44,273","183,723",10.9%,121,162,79,-5.5%,70,106,44,-6.6%,0.58,0.65,0.56,-1.2%,0.41,0.32,0.38,1.3%,0.71,0.75,0.76,0.0%,0.70,0.74,0.75,0.0%,"11,455","73,913", 6.5 ,"4,919",43%,"12,088",16%,"4,292",37%,"31,050",42%,9,0.1%,98,0.1%,"2,235",20%,"30,676",42%,,
"Xingping, Shaanxi",China,East Asia and the Pacific,34.308,108.463,7/1/92,6/1/00,6/1/13,"39,458","68,813","193,390",7.9%,271,503,"2,728",13.0%,29,266,"1,289",12.2%,217,201,"1,328",14.5%,25,36,111,8.7%,386,465,"2,794",13.8%,657,968,"5,522",13.4%,146,137,71,-5.1%,60,71,35,-5.4%,0.41,0.52,0.49,-0.4%,0.62,0.49,0.47,-0.3%,0.92,0.87,0.63,-2.5%,0.91,0.86,0.61,-2.6%,231,"2,225", 9.6 ,93,40%,383,17%,67,29%,874,39%,2,0.9%,49,2.2%,69,30%,919,41%,,
"Xucheng, Jiangsu",China,East Asia and the Pacific,33.004,118.507,10/1/90,9/1/00,8/1/13,"11,599","60,225","176,753",8.3%,31,383,"3,480",17.1%,0,102,"2,420",24.5%,25,265,988,10.2%,6,16,72,11.6%,45,422,"2,572",14.0%,76,805,"6,052",15.6%,369,157,51,-8.8%,152,75,29,-7.3%,0.41,0.48,0.57,1.5%,0.70,0.57,0.40,-2.7%,0.97,0.74,0.92,1.7%,0.95,0.74,0.92,1.6%,351,"3,097", 8.8 ,12,3%,198,6%,0,0%,"2,357",76%,244,69.5%,0,0.0%,95,27%,541,17%,,
Yamaguchi,Japan,Europe and Japan,34.155,131.458,9/1/90,3/1/99,5/1/14,"115,170","241,088","244,194",0.1%,"5,214","10,865","11,841",0.6%,"2,705","6,415","7,377",0.9%,"2,351","4,120","4,158",0.1%,158,331,306,-0.5%,"4,430","8,190","8,165",0.0%,"9,644","19,056","20,007",0.3%,22,22,21,-0.5%,12,13,12,-0.2%,0.54,0.57,0.59,0.2%,0.45,0.41,0.38,-0.4%,0.51,0.57,0.58,0.2%,0.53,0.58,0.59,0.2%,"2,174",974, 0.4 ,"1,044",48%,620,64%,565,26%,125,13%,7,0.3%,7,0.7%,559,26%,222,23%,,
"Yanggu, Shandong",China,East Asia and the Pacific,36.116,115.786,9/1/90,9/1/00,4/1/14,"31,068","53,923","221,306",10.4%,450,"1,151","6,498",12.7%,321,666,"2,193",8.8%,115,414,"3,964",16.6%,14,71,341,11.6%,279,862,"6,710",15.1%,729,"2,013","13,207",13.9%,69,47,34,-2.3%,43,27,17,-3.5%,0.62,0.57,0.49,-1.1%,0.37,0.41,0.52,1.8%,0.97,0.89,0.76,-1.2%,0.96,0.87,0.73,-1.3%,701,"5,346", 7.6 ,94,13%,442,8%,321,46%,"1,992",37%,23,3.3%,15,0.3%,262,37%,"2,896",54%,,
"Yiyang, Hunan",China,East Asia and the Pacific,28.587,112.356,7/1/94,9/1/99,10/1/13,"274,739","315,559","412,685",1.9%,"1,751","3,988","9,951",6.5%,"1,089","2,580","6,473",6.5%,602,"1,289","3,197",6.5%,61,119,282,6.1%,"1,326","2,639","7,353",7.3%,"3,077","6,627","17,304",6.8%,157,79,41,-4.6%,89,48,24,-4.9%,0.57,0.60,0.58,-0.3%,0.43,0.39,0.37,-0.5%,0.84,0.80,0.85,0.5%,0.84,0.78,0.84,0.5%,"2,236","5,963", 2.7 ,529,24%,982,16%,"1,328",59%,"3,373",57%,0,0.0%,0,0.0%,379,17%,"1,607",27%,,
